Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info,ENL_Engine_Run_Start_Times,MOP_Engine_Run_Start_Times,RPM_Engine_Run_Start_Times,ENL_Engine_Run_Altitudes_MSL,MOP_Engine_Run_Altitudes_MSL,RPM_Engine_Run_Altitudes_MSL,ENL_Engine_Run_Altitudes_AGL,MOP_Engine_Run_Altitudes_AGL,RPM_Engine_Run_Altitudes_AGL,ENL_Noise_Registration_Times,MOP_Noise_Registration_Times,RPM_Noise_Registration_Times,ENL_Noise_Registration_Altitudes_AGL,MOP_Noise_Registration_Altitudes_AGL,RPM_Noise_Registration_Altitudes_AGL
08/22/2024,4536-9240051887.igc,ArcusM, 5:36:34,183930,001604,HOME,931,9153[8402],284,245,-39,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=183930 and: 935 msl [-2 agl]; Height gain/loss is: 1991
ArcusM Motor noise registered by ENL sensor at t=['183931', '184538'] and [-2, 2044]AGL",183930,,,935,,,-2.0,,,"183931,184538",,,"-2.0,2044.0",,
08/15/2024,4536-9241100359.igc,JS-1-21m,4:13:33,175138,220511,HOME,941,8474[6243],287,259,-28,"JS-1-21m's MOP monitor reports Engine Run 10 minutes, starts at T=175144 and: 931 msl [0 agl]; Height gain/loss is: 3081
JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=185819 and: 4153 msl [3392 agl]; Height gain/loss is: 144
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=190102 and: 4032 msl [3304 agl]; Height gain/loss is: -361
JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=190622 and: 3674 msl [3008 agl]; Height gain/loss is: 210
JS-1-21m's MOP monitor reports Engine Run 5 minutes, starts at T=191207 and: 5751 msl [5072 agl]; Height gain/loss is: -975
JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=192036 and: 4868 msl [4140 agl]; Height gain/loss is: 236
JS-1-21m's MOP monitor reports Engine Run 6 minutes, starts at T=192424 and: 5446 msl [4695 agl]; Height gain/loss is: -627
JS-1-21m's MOP monitor reports Engine Run 5 minutes, starts at T=193201 and: 4517 msl [3724 agl]; Height gain/loss is: -498
JS-1-21m's MOP monitor reports Engine Run 10 minutes, starts at T=194756 and: 5541 msl [4118 agl]; Height gain/loss is: -1293
JS-1-21m's MOP monitor reports Engine Run 5 minutes, starts at T=200835 and: 6184 msl [4587 agl]; Height gain/loss is: 443
JS-1-21m's MOP monitor reports Engine Run 11 minutes, starts at T=201603 and: 7250 msl [5581 agl]; Height gain/loss is: -1420
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=203029 and: 6673 msl [4780 agl]; Height gain/loss is: -719
JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=203959 and: 5610 msl [3563 agl]; Height gain/loss is: 423
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=204252 and: 5541 msl [3402 agl]; Height gain/loss is: -190
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=210016 and: 5508 msl [3304 agl]; Height gain/loss is: -20
JS-1-21m's MOP monitor reports Engine Run 5 minutes, starts at T=210758 and: 6676 msl [4534 agl]; Height gain/loss is: -860
JS-1-21m's MOP monitor reports Engine Run 6 minutes, starts at T=211746 and: 6414 msl [4256 agl]; Height gain/loss is: -1270
JS-1-21m's MOP monitor reports Engine Run 20 minutes, starts at T=213023 and: 8034 msl [6073 agl]; Height gain/loss is: -3993
JS-1-21m's MOP monitor reports Engine Run 9 minutes, starts at T=215449 and: 3822 msl [2582 agl]; Height gain/loss is: -2681
JS-1-21m Motor noise registered by MOP sensor at t=['175139', '180203', '184234', '185503', '185803', '185937', '190053', '190414', '190610', '190723', '191158', '191730', '191954', '192228', '192412', '193055', '193149', '193707', '193749', '194105', '194738', '195840', '200305', '200709', '200826', '201349', '201548', '202717', '203020', '203501', '203741', '204133', '204158', '204706', '204754', '205103', '205507', '205709', '210000', '210351', '210749', '211303', '211722', '212402', '213011', '215050', '215229', '215410', '215443', '220410', '220452'] and [-2, 3097, 4662, 2821, 3494, 3546, 3280, 2973, 3044, 3176, 5197, 4061, 4465, 4402, 4859, 4029, 3894, 2829, 2513, 2687, 4354, 2693, 4403, 4997, 4712, 4882, 5623, 3819, 4908, 3809, 4078, 4131, 3795, 3235, 2648, 2503, 2687, 2769, 3609, 3271, 4649, 3582, 4521, 3156, 5859, 2477, 2317, 2855, 2681, 190, 92]AGL",,"175144,185819,190102,190622,191207,192036,192424,193201,194756,200835,201603,203029,203959,204252,210016,210758,211746,213023,215449",,,"931,4153,4032,3674,5751,4868,5446,4517,5541,6184,7250,6673,5610,5541,5508,6676,6414,8034,3822",,,"0.0,3392.0,3304.0,3008.0,5072.0,4140.0,4695.0,3724.0,4118.0,4587.0,5581.0,4780.0,3563.0,3402.0,3304.0,4534.0,4256.0,6073.0,2582.0",,,"175139,180203,184234,185503,185803,185937,190053,190414,190610,190723,191158,191730,191954,192228,192412,193055,193149,193707,193749,194105,194738,195840,200305,200709,200826,201349,201548,202717,203020,203501,203741,204133,204158,204706,204754,205103,205507,205709,210000,210351,210749,211303,211722,212402,213011,215050,215229,215410,215443,220410,220452",,,"-2.0,3097.0,4662.0,2821.0,3494.0,3546.0,3280.0,2973.0,3044.0,3176.0,5197.0,4061.0,4465.0,4402.0,4859.0,4029.0,3894.0,2829.0,2513.0,2687.0,4354.0,2693.0,4403.0,4997.0,4712.0,4882.0,5623.0,3819.0,4908.0,3809.0,4078.0,4131.0,3795.0,3235.0,2648.0,2503.0,2687.0,2769.0,3609.0,3271.0,4649.0,3582.0,4521.0,3156.0,5859.0,2477.0,2317.0,2855.0,2681.0,190.0,92.0",
08/12/2024,4536-9241100318.igc,EB29R, 6:19:57,175948,001945,HOME,931,8536[7365],284,251,-33,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=175955 and: 938 msl [0 agl]; Height gain/loss is: 1850
EB29R Motor noise registered by ENL sensor at t=['175955', '180406'] and [0, 1863]AGL",175955,,,938,,,0.0,,,"175955,180406",,,"0.0,1863.0",,
08/24/2024,4536-9241100515.igc,EB29RGBD,4:12:22,185449,230711,HOME,938,8307[7317],286,243,-43,"EB29RGBD's ENL monitor reports Engine Run 5 minutes, starts at T=185449 and: 928 msl [3 agl]; Height gain/loss is: 2178
EB29RGBD Motor noise registered by ENL sensor at t=['185450', '190036', '190039', '190040', '223219', '223222', '230642', '230643', '230646', '230654', '230704', '230706'] and [3, 2201, 2201, 2192, 5577, 5485, 72, 72, 88, 76, 79, 79]AGL",185449,,,928,,,3.0,,,"185450,190036,190039,190040,223219,223222,230642,230643,230646,230654,230704,230706",,,"3.0,2201.0,2201.0,2192.0,5577.0,5485.0,72.0,72.0,88.0,76.0,79.0,79.0",,
08/23/2024,4536-9239003524.igc,JS-3-18m, 6:53:34,181210,010544,HOME,931,7723[7130],284,246,-38,"JS-3-18m's MOP monitor reports Engine Run 5 minutes, starts at T=181210 and: 931 msl [23 agl]; Height gain/loss is: 1575
JS-3-18m Motor noise registered by ENL sensor at t=['181211', '181226', '181606', '181614', '181620', '181626'] and [27, 65, 1230, 1185, 1220, 1290]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['181211', '181720'] and [27, 1578]AGL",,181210,,,931,,,23.0,,"181211,181226,181606,181614,181620,181626","181211,181720",,"27.0,65.0,1230.0,1185.0,1220.0,1290.0","27.0,1578.0",
08/23/2024,4536-9241100495.igc,JS-1-21m, 5:34:36,182902,000338,HOME,931,8520[6789],284,247,-37,"JS-1-21m's MOP monitor reports Engine Run 2 minutes, starts at T=193923 and: 4645 msl [3927 agl]; Height gain/loss is: -121
JS-1-21m's MOP monitor reports Engine Run 2 minutes, starts at T=203430 and: 4681 msl [4291 agl]; Height gain/loss is: 1172
JS-1-21m's MOP monitor reports Engine Run 6 minutes, starts at T=203823 and: 5839 msl [5429 agl]; Height gain/loss is: -1702
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=214407 and: 6227 msl [5598 agl]; Height gain/loss is: -388
JS-1-21m's MOP monitor reports Engine Run 2 minutes, starts at T=221007 and: 5666 msl [4771 agl]; Height gain/loss is: 242
JS-1-21m's MOP monitor reports Engine Run 2 minutes, starts at T=222107 and: 6732 msl [5532 agl]; Height gain/loss is: 193
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=222624 and: 7040 msl [5656 agl]; Height gain/loss is: -820
JS-1-21m Motor noise registered by MOP sensor at t=['182903', '183434', '192929', '193421', '193816', '194124', '194815', '195203', '195356', '195720', '195829', '200135', '200528', '200944', '201234', '201606', '202241', '202515', '202921', '203012', '203134', '203208', '203414', '203658', '203813', '204505', '205413', '205753', '210639', '211019', '211408', '211437', '211547', '212421', '212925', '213437', '213719', '213831', '214353', '214724', '214831', '215301', '220915', '221257', '221335', '221608', '221721', '222011', '222054', '222339', '222558', '223058', '223119', '223555', '224206', '224406', '225755', '230009', '230331', '230910', '232537', '232838', '233524', '234008', '234743', '000312', '000327'] and [-26, 2224, 4393, 4141, 4085, 3754, 5137, 4951, 4655, 4144, 3980, 3779, 4573, 3986, 3389, 2527, 4128, 3983, 3595, 4049, 4619, 4531, 4383, 5473, 5525, 3649, 4905, 4305, 4967, 4380, 6240, 6083, 5735, 4052, 6257, 4807, 4206, 4153, 5768, 5206, 4465, 3458, 5013, 4914, 4439, 4189, 4722, 6096, 5581, 5630, 6043, 4751, 4282, 3313, 3208, 2953, 5666, 5358, 5706, 4567, 4702, 4298, 6214, 5561, 4797, 69, 85]AGL",,"193923,203430,203823,214407,221007,222107,222624",,,"4645,4681,5839,6227,5666,6732,7040",,,"3927.0,4291.0,5429.0,5598.0,4771.0,5532.0,5656.0",,,"182903,183434,192929,193421,193816,194124,194815,195203,195356,195720,195829,200135,200528,200944,201234,201606,202241,202515,202921,203012,203134,203208,203414,203658,203813,204505,205413,205753,210639,211019,211408,211437,211547,212421,212925,213437,213719,213831,214353,214724,214831,215301,220915,221257,221335,221608,221721,222011,222054,222339,222558,223058,223119,223555,224206,224406,225755,230009,230331,230910,232537,232838,233524,234008,234743,312,327",,,"-26.0,2224.0,4393.0,4141.0,4085.0,3754.0,5137.0,4951.0,4655.0,4144.0,3980.0,3779.0,4573.0,3986.0,3389.0,2527.0,4128.0,3983.0,3595.0,4049.0,4619.0,4531.0,4383.0,5473.0,5525.0,3649.0,4905.0,4305.0,4967.0,4380.0,6240.0,6083.0,5735.0,4052.0,6257.0,4807.0,4206.0,4153.0,5768.0,5206.0,4465.0,3458.0,5013.0,4914.0,4439.0,4189.0,4722.0,6096.0,5581.0,5630.0,6043.0,4751.0,4282.0,3313.0,3208.0,2953.0,5666.0,5358.0,5706.0,4567.0,4702.0,4298.0,6214.0,5561.0,4797.0,69.0,85.0",
08/24/2024,4536-9240051912.igc,ArcusM,3:51:28,185640,224808,HOME,948,8530[7973],289,240,-49,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=185640 and: 944 msl [19 agl]; Height gain/loss is: 2169
ArcusM Motor noise registered by ENL sensor at t=['185641', '190257', '224750', '224751'] and [23, 2231, 92, 96]AGL",185640,,,944,,,19.0,,,"185641,190257,224750,224751",,,"23.0,2231.0,92.0,96.0",,
08/20/2024,4536-9240051848.igc,ArcusM, 5:05:39,194012,004551,HOME,948,9471[7195],289,256,-33,"ArcusM Motor noise registered by ENL sensor at t=['003859', '004038'] and [1115, 1821]AGL",,,,,,,,,,"3859,4038",,,"1115.0,1821.0",,
08/19/2024,4536-9239003383.igc,AS33Es18m,5:57:52,173650,233442,HOME,944,8175[7520],288,239,-49,"AS33Es18m's ENL monitor reports Engine Run 4 minutes, starts at T=173650 and: 977 msl [69 agl]; Height gain/loss is: 1906
AS33Es18m Motor noise registered by ENL sensor at t=['173651', '174119'] and [69, 1958]AGL",173650,,,977,,,69.0,,,"173651,174119",,,"69.0,1958.0",,
08/28/2024,4536-9239003638.igc,JS-3-18m,3:40:24,180346,214410,HOME,944,6505[5994],288,227,-61,"JS-3-18m's MOP monitor reports Engine Run 26 minutes, starts at T=203707 and: 1227 msl [420 agl]; Height gain/loss is: 2109
JS-3-18m Motor noise registered by ENL sensor at t=['214403', '214404'] and [105, 105]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['203552', '203603', '203707', '210309'] and [538, 548, 420, 2769]AGL",,203707,,,1227,,,420.0,,"214403,214404","203552,203603,203707,210309",,"105.0,105.0","538.0,548.0,420.0,2769.0",
08/14/2024,4536-9240051762.igc,ArcusM,3:30:20,190905,223925,HOME,925,7680[6296],282,268,-14,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=190905 and: 931 msl [0 agl]; Height gain/loss is: 2041
ArcusM Motor noise registered by ENL sensor at t=['190906', '191448'] and [0, 2080]AGL",190905,,,931,,,0.0,,,"190906,191448",,,"0.0,2080.0",,
08/14/2024,4536-9240051774.igc,ASG32Mi,5:24:20,173204,225624,HOME,925,7706[6148],282,245,-37,"ASG32Mi's ENL monitor reports Engine Run 5 minutes, starts at T=173204 and: 931 msl [0 agl]; Height gain/loss is: 1946
ASG32Mi Motor noise registered by ENL sensor at t=['173205', '173730', '215003', '215004', '220636', '220637', '222612', '222613'] and [0, 1982, 5440, 5485, 3320, 3327, 2979, 2963]AGL",173204,,,931,,,0.0,,,"173205,173730,215003,215004,220636,220637,222612,222613",,,"0.0,1982.0,5440.0,5485.0,3320.0,3327.0,2979.0,2963.0",,
08/21/2024,4536-9240051871.igc,ArcusM, 4:49:10,194349,003259,HOME,938,13251[10863],286,243,-43,"ArcusM's ENL monitor reports Engine Run 7 minutes, starts at T=194349 and: 938 msl [7 agl]; Height gain/loss is: 2050
ArcusM Motor noise registered by ENL sensor at t=['194350', '195057'] and [7, 2116]AGL",194349,,,938,,,7.0,,,"194350,195057",,,"7.0,2116.0",,
08/30/2024,4536-9239003701.igc,JS-3-18m,4:28:27,180637,223504,HOME,931,7591[7145],284,253,-31,"JS-3-18m's MOP monitor reports Engine Run 2 minutes, starts at T=180643 and: 905 msl [-2 agl]; Height gain/loss is: 1732
JS-3-18m Motor noise registered by MOP sensor at t=['180639', '180932', '223154'] and [-31, 1735, 1172]AGL",,180643,,,905,,,-2.0,,,"180639,180932,223154",,,"-31.0,1735.0,1172.0",
08/13/2024,4536-9239003213.igc,JS-3-18m,4:07:57,185125,225922,HOME,928,7477[6762],283,254,-29,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=224130 and: 2319 msl [1388 agl]; Height gain/loss is: 266
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=224935 and: 3313 msl [2355 agl]; Height gain/loss is: -33
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=225353 and: 2700 msl [1782 agl]; Height gain/loss is: -197
JS-3-18m Motor noise registered by MOP sensor at t=['185126', '185139', '185150', '185155', '205811', '205822', '224130', '224235', '224935', '225126', '225353', '225517'] and [-9, 23, 55, 82, 5712, 5745, 1388, 1621, 2355, 2316, 1782, 1523]AGL",,"224130,224935,225353",,,"2319,3313,2700",,,"1388.0,2355.0,1782.0",,,"185126,185139,185150,185155,205811,205822,224130,224235,224935,225126,225353,225517",,,"-9.0,23.0,55.0,82.0,5712.0,5745.0,1388.0,1621.0,2355.0,2316.0,1782.0,1523.0",
08/28/2024,4536-9240051960.igc,ArcusM,4:17:59,173438,215237,HOME,925,6256[5767],282,241,-41,"ArcusM's ENL monitor reports Engine Run 7 minutes, starts at T=173438 and: 915 msl [-15 agl]; Height gain/loss is: 1998
ArcusM's ENL monitor reports Engine Run 9 minutes, starts at T=195209 and: 1227 msl [447 agl]; Height gain/loss is: 1499
ArcusM's ENL monitor reports Engine Run 3 minutes, starts at T=200718 and: 1279 msl [669 agl]; Height gain/loss is: 2559
ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=203127 and: 2125 msl [1683 agl]; Height gain/loss is: 1631
ArcusM's ENL monitor reports Engine Run 2 minutes, starts at T=204349 and: 2286 msl [1722 agl]; Height gain/loss is: 889
ArcusM's ENL monitor reports Engine Run 3 minutes, starts at T=205302 and: 1601 msl [939 agl]; Height gain/loss is: 1171
ArcusM Motor noise registered by ENL sensor at t=['173439', '174144', '195209', '200153', '200718', '201047', '203127', '203633', '204349', '204609', '205302', '205643', '215222', '215229'] and [-15, 2001, 447, 2044, 669, 3209, 1683, 3307, 1722, 2608, 939, 2192, 69, 55]AGL","173438,195209,200718,203127,204349,205302",,,"915,1227,1279,2125,2286,1601",,,"-15.0,447.0,669.0,1683.0,1722.0,939.0",,,"173439,174144,195209,200153,200718,201047,203127,203633,204349,204609,205302,205643,215222,215229",,,"-15.0,2001.0,447.0,2044.0,669.0,3209.0,1683.0,3307.0,1722.0,2608.0,939.0,2192.0,69.0,55.0",,
08/19/2024,4536-9239003377.igc,JS-3-18m,5:38:59,182037,235936,HOME,938,8038[7162],286,242,-44,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235215 and: 4081 msl [3110 agl]; Height gain/loss is: -17
JS-3-18m Motor noise registered by MOP sensor at t=['235215', '235325'] and [3110, 3136]AGL",,235215,,,4081,,,3110.0,,,"235215,235325",,,"3110.0,3136.0",
08/14/2024,4536-9239003253.igc,JS-3-18m,6:15:00,174055,235555,HOME,944,7949[7192],288,242,-46,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235443 and: 1574 msl [623 agl]; Height gain/loss is: -528
JS-3-18m Motor noise registered by MOP sensor at t=['174057', '174516', '235417'] and [17, 2221, 1040]AGL",,235443,,,1574,,,623.0,,,"174057,174516,235417",,,"17.0,2221.0,1040.0",
08/24/2024,4536-9239003541.igc,JS-3-18m,5:00:29,185852,235921,HOME,931,8195[6749],284,238,-46,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=185859 and: 905 msl [-2 agl]; Height gain/loss is: 896
JS-3-18m Motor noise registered by MOP sensor at t=['185855', '190056', '235720'] and [-31, 889, 670]AGL",,185859,,,905,,,-2.0,,,"185855,190056,235720",,,"-31.0,889.0,670.0",
08/15/2024,4536-9240051782.igc,ArcusM,4:12:05,180816,222021,HOME,931,8589[6864],284,265,-19,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=180816 and: 918 msl [-29 agl]; Height gain/loss is: 2054
ArcusM Motor noise registered by ENL sensor at t=['180817', '181318', '221602', '221619'] and [-35, 2057, 1536, 1444]AGL",180816,,,918,,,-29.0,,,"180817,181318,221602,221619",,,"-35.0,2057.0,1536.0,1444.0",,
08/19/2024,4536-9240051840.igc,ArcusM,4:40:10,183819,231829,HOME,938,8763[7133],286,225,-61,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=183819 and: 935 msl [10 agl]; Height gain/loss is: 1975
ArcusM Motor noise registered by ENL sensor at t=['183820', '184315', '231823', '231826'] and [13, 2044, 72, 69]AGL",183819,,,935,,,10.0,,,"183820,184315,231823,231826",,,"13.0,2044.0,72.0,69.0",,
08/19/2024,4536-9241100427.igc,JS-1-21m,5:39:43,175203,233146,HOME,948,8795[7143],289,237,-52,"JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=175205 and: 954 msl [16 agl]; Height gain/loss is: 2057
JS-1-21m's MOP monitor reports Engine Run 2 minutes, starts at T=192340 and: 6213 msl [5370 agl]; Height gain/loss is: 250
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=192943 and: 6220 msl [5525 agl]; Height gain/loss is: 528
JS-1-21m's MOP monitor reports Engine Run 6 minutes, starts at T=193417 and: 6145 msl [5457 agl]; Height gain/loss is: -1057
JS-1-21m's MOP monitor reports Engine Run 9 minutes, starts at T=194715 and: 5187 msl [4544 agl]; Height gain/loss is: -1306
JS-1-21m's MOP monitor reports Engine Run 12 minutes, starts at T=200620 and: 6358 msl [5902 agl]; Height gain/loss is: -1414
JS-1-21m's MOP monitor reports Engine Run 8 minutes, starts at T=210236 and: 4960 msl [4360 agl]; Height gain/loss is: 66
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=211517 and: 5823 msl [5236 agl]; Height gain/loss is: 226
JS-1-21m's MOP monitor reports Engine Run 9 minutes, starts at T=212221 and: 7267 msl [6697 agl]; Height gain/loss is: -919
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=213432 and: 6856 msl [6079 agl]; Height gain/loss is: -282
JS-1-21m's MOP monitor reports Engine Run 7 minutes, starts at T=214200 and: 7168 msl [5941 agl]; Height gain/loss is: -1076
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=215246 and: 7273 msl [6020 agl]; Height gain/loss is: -161
JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=220229 and: 7096 msl [5144 agl]; Height gain/loss is: 486
JS-1-21m's MOP monitor reports Engine Run 13 minutes, starts at T=220615 and: 8287 msl [6267 agl]; Height gain/loss is: -1522
JS-1-21m's MOP monitor reports Engine Run 4 minutes, starts at T=223407 and: 6961 msl [4757 agl]; Height gain/loss is: 164
JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=224738 and: 6243 msl [3980 agl]; Height gain/loss is: 568
JS-1-21m's MOP monitor reports Engine Run 10 minutes, starts at T=225438 and: 7194 msl [5023 agl]; Height gain/loss is: 253
JS-1-21m's MOP monitor reports Engine Run 24 minutes, starts at T=230617 and: 6958 msl [5095 agl]; Height gain/loss is: -5915
JS-1-21m Motor noise registered by ENL sensor at t=['233111', '233113'] and [108, 115]AGL
JS-1-21m Motor noise registered by MOP sensor at t=['175204', '175559', '192125', '192624', '192805', '193255', '193407', '194049', '194352', '195629', '200204', '200337', '200609', '201856', '202700', '203110', '204028', '204542', '205254', '205937', '210204', '211131', '211505', '211846', '212211', '213207', '213423', '213913', '214132', '214901', '215225', '215723', '215815', '220332', '220603', '222010', '222105', '222140', '222650', '223050', '223352', '223811', '224122', '225106', '225347', '230530', '230606', '233109', '233121'] and [20, 2139, 5867, 5706, 5807, 6082, 5561, 4462, 5617, 3419, 5469, 5705, 5984, 4603, 5443, 5296, 5217, 4790, 5236, 4603, 4734, 4406, 5384, 5472, 6866, 5597, 6254, 5623, 6162, 4816, 6171, 5321, 5236, 5607, 6500, 4679, 4367, 4586, 4764, 4278, 4977, 4872, 5627, 4502, 5137, 5758, 5269, 105, 102]AGL",,"175205,192340,192943,193417,194715,200620,210236,211517,212221,213432,214200,215246,220229,220615,223407,224738,225438,230617",,,"954,6213,6220,6145,5187,6358,4960,5823,7267,6856,7168,7273,7096,8287,6961,6243,7194,6958",,,"16.0,5370.0,5525.0,5457.0,4544.0,5902.0,4360.0,5236.0,6697.0,6079.0,5941.0,6020.0,5144.0,6267.0,4757.0,3980.0,5023.0,5095.0",,"233111,233113","175204,175559,192125,192624,192805,193255,193407,194049,194352,195629,200204,200337,200609,201856,202700,203110,204028,204542,205254,205937,210204,211131,211505,211846,212211,213207,213423,213913,214132,214901,215225,215723,215815,220332,220603,222010,222105,222140,222650,223050,223352,223811,224122,225106,225347,230530,230606,233109,233121",,"108.0,115.0","20.0,2139.0,5867.0,5706.0,5807.0,6082.0,5561.0,4462.0,5617.0,3419.0,5469.0,5705.0,5984.0,4603.0,5443.0,5296.0,5217.0,4790.0,5236.0,4603.0,4734.0,4406.0,5384.0,5472.0,6866.0,5597.0,6254.0,5623.0,6162.0,4816.0,6171.0,5321.0,5236.0,5607.0,6500.0,4679.0,4367.0,4586.0,4764.0,4278.0,4977.0,4872.0,5627.0,4502.0,5137.0,5758.0,5269.0,105.0,102.0",
08/26/2024,4536-9241100539.igc,EB29R,4:38:44,171457,215341,HOME,931,9973[8067],284,220,-64,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=171457 and: 931 msl [-16 agl]; Height gain/loss is: 1975
EB29R Motor noise registered by ENL sensor at t=['171458', '172014'] and [-16, 2031]AGL",171457,,,931,,,-16.0,,,"171458,172014",,,"-16.0,2031.0",,
08/23/2024,4536-9239003509.igc,JS-3-18m, 7:24:59,180102,012601,HOME,944,7795[7271],288,239,-49,"JS-3-18m's MOP monitor reports Engine Run 3 minutes, starts at T=180109 and: 925 msl [13 agl]; Height gain/loss is: 1437
JS-3-18m Motor noise registered by MOP sensor at t=['180105', '180451', '012445'] and [23, 1500, 237]AGL",,180109,,,925,,,13.0,,,"180105,180451,12445",,,"23.0,1500.0,237.0",
08/28/2024,4536-9239003645.igc,JS-3-18m,3:17:47,180921,212708,LOUT,931,6286[5706],284,248,-36,"JS-3-18m Motor noise registered by ENL sensor at t=['211955', '212121', '212502', '212538'] and [1217, 1263, 558, 551]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['211956', '212125', '212505', '212542'] and [1223, 1257, 552, 535]AGL",,,,,,,,,,"211955,212121,212502,212538","211956,212125,212505,212542",,"1217.0,1263.0,558.0,551.0","1223.0,1257.0,552.0,535.0",
08/15/2024,4536-9240051788.igc,HpHTwinshark,4:33:57,175214,222611,HOME,948,8953[7241],289,261,-28,"HpHTwinshark's ENL monitor reports Engine Run 6 minutes, starts at T=175218 and: 948 msl [23 agl]; Height gain/loss is: 2208
HpHTwinshark Motor noise registered by ENL sensor at t=['175218', '175818'] and [23, 2248]AGL",175218,,,948,,,23.0,,,"175218,175818",,,"23.0,2248.0",,
08/29/2024,4536-9241100583.igc,EB29RGBD,6:05:26,175140,235706,HOME,938,6555[5463],286,249,-37,"EB29RGBD's ENL monitor reports Engine Run 5 minutes, starts at T=175140 and: 931 msl [6 agl]; Height gain/loss is: 2185
EB29RGBD Motor noise registered by ENL sensor at t=['175141', '175703', '224929', '224934', '235640', '235650', '235702', '235705'] and [6, 2231, 3747, 3685, 102, 105, 105, 105]AGL",175140,,,931,,,6.0,,,"175141,175703,224929,224934,235640,235650,235702,235705",,,"6.0,2231.0,3747.0,3685.0,102.0,105.0,105.0,105.0",,
08/26/2024,4536-9241100542.igc,EB29R,4:38:30,171536,215406,HOME,925,9727[7855],282,232,-50,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=171536 and: 931 msl [-16 agl]; Height gain/loss is: 1995
EB29R Motor noise registered by ENL sensor at t=['171537', '172032', '215359', '215401'] and [-12, 2051, 75, 72]AGL",171536,,,931,,,-16.0,,,"171537,172032,215359,215401",,,"-12.0,2051.0,75.0,72.0",,
08/13/2024,4536-9240051750.igc,ArcusM,4:21:42,181653,223835,HOME,948,7463[7135],289,252,-37,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=181653 and: 944 msl [6 agl]; Height gain/loss is: 1785
ArcusM Motor noise registered by ENL sensor at t=['181654', '182304', '202906', '202907'] and [6, 1863, 4918, 4908]AGL",181653,,,944,,,6.0,,,"181654,182304,202906,202907",,,"6.0,1863.0,4918.0,4908.0",,
08/22/2024,4536-9241100477.igc,JS-1-21m,5:42:22,181303,235525,HOME,938,11338[9131],286,260,-26,"JS-1-21m's MOP monitor reports Engine Run 8 minutes, starts at T=234236 and: 6397 msl [5695 agl]; Height gain/loss is: -3907
JS-1-21m Motor noise registered by ENL sensor at t=['235512', '235518'] and [79, 85]AGL
JS-1-21m Motor noise registered by MOP sensor at t=['191217', '191218', '234233', '235036', '235514'] and [6568, 6568, 5712, 1628, 86]AGL",,234236,,,6397,,,5695.0,,"235512,235518","191217,191218,234233,235036,235514",,"79.0,85.0","6568.0,6568.0,5712.0,1628.0,86.0",
