Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info
08/28/2024,4536-9239003654.igc,18m_N369QT_JS-3,4:10:18,180210,221228,HOME,931,6328[5728],284,246,-38,"18m_N369QT_JS-3's MOP monitor reports Engine Run 7 minutes, starts at T=203015 and: 1095 msl [436 agl]; Height gain/loss is: 1457
18m_N369QT_JS-3's MOP monitor reports Engine Run 7 minutes, starts at T=204257 and: 2644 msl [1847 agl]; Height gain/loss is: 587
18m_N369QT_JS-3's MOP monitor reports Engine Run 2 minutes, starts at T=205537 and: 2119 msl [1289 agl]; Height gain/loss is: 259
18m_N369QT_JS-3's MOP monitor reports Engine Run 1 minutes, starts at T=205825 and: 2375 msl [1542 agl]; Height gain/loss is: -7
18m_N369QT_JS-3 Motor noise registered by ENL sensor at t=['180503', '180504', '181223', '181225'] and [1109, 1125, 2844, 2808]AGL
18m_N369QT_JS-3 Motor noise registered by MOP sensor at t=['203015', '203726', '204257', '205054', '205537', '205820', '205825', '205938', '221223', '221227'] and [436, 1759, 1847, 2424, 1289, 1548, 1542, 1542, 53, 53]AGL"
08/20/2024,4536-9240051846.igc,ArcusM, 5:04:16,194403,004819,HOME,931,9396[7077],284,255,-29,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=194403 and: 928 msl [-19 agl]; Height gain/loss is: 1650
ArcusM's ENL monitor reports Engine Run 14 minutes, starts at T=1056 and: 1404 msl [883 agl]; Height gain/loss is: 4741
ArcusM Motor noise registered by ENL sensor at t=['194404', '194929', '001056', '002540'] and [-22, 1706, 883, 5493]AGL"
08/12/2024,4536-9240051743.igc,ArcusM,3:19:35,183306,215241,HOME,931,7106[6559],284,236,-48,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=183306 and: 935 msl [-5 agl]; Height gain/loss is: 1663
ArcusM Motor noise registered by ENL sensor at t=['183307', '183806'] and [-2, 1696]AGL"
08/18/2024,4536-9240051820.igc,Twinshark,5:21:48,183348,235536,HOME,948,8923[6860],289,251,-38,"Twinshark's ENL monitor reports Engine Run 6 minutes, starts at T=183348 and: 951 msl [13 agl]; Height gain/loss is: 2146
Twinshark Motor noise registered by ENL sensor at t=['183349', '183958', '195656', '195657', '203348', '203349'] and [10, 2182, 5722, 5722, 3513, 3507]AGL"
08/28/2024,4536-9240051958.igc,ArcusM,2:44:54,174105,202559,LOUT,938,6046[5591],286,243,-43,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=174105 and: 931 msl [6 agl]; Height gain/loss is: 1654
ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=195152 and: 1397 msl [617 agl]; Height gain/loss is: 2572
ArcusM Motor noise registered by ENL sensor at t=['174106', '174644', '195152', '200022'] and [3, 1736, 617, 3274]AGL"
08/20/2024,4536-9240051855.igc,ArcusM, 5:30:45,193524,010609,HOME,948,10121[8904],289,230,-59,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=193524 and: 951 msl [13 agl]; Height gain/loss is: 1778
ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=194650 and: 1377 msl [459 agl]; Height gain/loss is: 1365
ArcusM's ENL monitor reports Engine Run 19 minutes, starts at T=2144 and: 2030 msl [1653 agl]; Height gain/loss is: 7412
ArcusM's ENL monitor reports Engine Run 1 minutes, starts at T=5120 and: 6735 msl [5925 agl]; Height gain/loss is: -479
ArcusM's ENL monitor reports Engine Run 2 minutes, starts at T=5238 and: 6213 msl [5429 agl]; Height gain/loss is: -1256
ArcusM Motor noise registered by ENL sensor at t=['193525', '194103', '194650', '195133', '002144', '004126', '005009', '005015', '005120', '005231', '005238', '005534', '005538', '005544', '005553', '005615'] and [13, 1854, 459, 1857, 1653, 8891, 6312, 6282, 5925, 5466, 5429, 4134, 4131, 4061, 3993, 3905]AGL"
08/20/2024,4536-9239003413.igc,JS-3-18m, 4:51:45,194103,003248,HOME,931,9156[7674],284,245,-39,"JS-3-18m's MOP monitor reports Engine Run 2 minutes, starts at T=194109 and: 892 msl [-15 agl]; Height gain/loss is: 1296
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=3055 and: 1561 msl [626 agl]; Height gain/loss is: -584
JS-3-18m Motor noise registered by ENL sensor at t=['003212', '003213'] and [53, 49]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['194105', '194333', '003045'] and [-31, 1296, 673]AGL"
08/23/2024,4536-9239003519.igc,JS-3-18m, 6:35:33,180151,003724,HOME,944,7788[7208],288,247,-41,"JS-3-18m's RPM monitor reports Engine Run 214 minutes, starts at T=184216 and: 4911 msl [4081 agl]; Height gain/loss is: -2421"
08/12/2024,4536-9239003198.igc,JS-3-18m,3:46:45,180624,215309,HOME,944,7004[6503],288,254,-34,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=181314 and: 4012 msl [3173 agl]; Height gain/loss is: -39
JS-3-18m Motor noise registered by MOP sensor at t=['181240', '181246', '181314', '181415'] and [3153, 3130, 3173, 3084]AGL"
08/21/2024,4536-9239003444.igc,JS-3-18m, 5:04:33,190350,000823,HOME,931,12470[10197],284,260,-24,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235432 and: 7201 msl [5276 agl]; Height gain/loss is: -712
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235538 and: 6453 msl [4695 agl]; Height gain/loss is: -968
JS-3-18m Motor noise registered by MOP sensor at t=['205920', '205934', '215916', '215934', '220243', '220246', '220251', '220300', '220416', '220427', '220517', '220525', '233908', '233912', '234700', '234704', '235331', '235334', '235337', '235412', '235432', '235535', '235538', '235737', '235740', '000234', '000236', '000253', '000319', '000348', '000358', '000403', '000750', '000803'] and [4511, 4498, 6909, 6857, 7126, 7097, 7070, 7073, 6661, 6587, 5984, 5967, 9911, 9924, 7605, 7634, 5469, 5482, 5555, 5657, 5276, 4705, 4695, 4042, 4032, 1496, 1473, 1454, 1424, 1388, 1325, 1332, 111, 72]AGL"
08/13/2024,4536-9240051756.igc,HpHTwinshark,4:18:07,183727,225534,HOME,931,7349[6945],284,251,-33,"HpHTwinshark's ENL monitor reports Engine Run 7 minutes, starts at T=183734 and: 938 msl [0 agl]; Height gain/loss is: 2103
HpHTwinshark Motor noise registered by ENL sensor at t=['183734', '184503'] and [0, 2159]AGL"
08/21/2024,4536-9240051872.igc,ArcusM, 4:33:49,194607,001956,HOME,941,13589[11266],287,247,-40,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=194607 and: 931 msl [6 agl]; Height gain/loss is: 2054
ArcusM Motor noise registered by ENL sensor at t=['194609', '195237'] and [6, 2119]AGL"
08/19/2024,4536-9240051834.igc,ArcusM,6:12:46,174203,235449,HOME,938,9097[7592],286,244,-42,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=174203 and: 941 msl [10 agl]; Height gain/loss is: 2021
ArcusM Motor noise registered by ENL sensor at t=['174204', '174657', '235433', '235435', '235436', '235438'] and [10, 2103, 82, 79, 82, 86]AGL"
08/18/2024,4536-9240051823.igc,ArcusM,4:58:06,184711,234517,HOME,931,8228[7090],284,234,-50,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=184711 and: 931 msl [-16 agl]; Height gain/loss is: 1828
ArcusM Motor noise registered by ENL sensor at t=['184712', '185151'] and [-16, 1887]AGL"
08/26/2024,4536-9239003575.igc,AS33Es18m,4:30:14,171842,214856,HOME,931,8526[7444],284,224,-60,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=171842 and: 974 msl [30 agl]; Height gain/loss is: 1909
AS33Es18m Motor noise registered by ENL sensor at t=['171843', '172208', '214826', '214827'] and [30, 1912, 114, 108]AGL"
08/23/2024,4536-9240051898.igc,ArcusM, 6:40:29,174801,002830,HOME,925,9337[7503],282,249,-33,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=174801 and: 925 msl [-5 agl]; Height gain/loss is: 2149
ArcusM Motor noise registered by ENL sensor at t=['174802', '175354'] and [-12, 2202]AGL"
08/23/2024,4536-9241100508.igc,EB29R, 5:50:29,182122,001151,HOME,931,9904[7995],284,260,-24,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=182122 and: 938 msl [0 agl]; Height gain/loss is: 2031
EB29R Motor noise registered by ENL sensor at t=['182123', '182639', '182641', '182642', '001110', '001111', '001130', '001132'] and [3, 2054, 2064, 2054, 82, 85, 66, 66]AGL"
08/20/2024,4536-9240051851.igc,HpHTwinshark, 5:13:41,195027,010408,HOME,931,10160[7884],284,252,-32,"HpHTwinshark's ENL monitor reports Engine Run 1 minutes, starts at T=195552 and: 2431 msl [1578 agl]; Height gain/loss is: 623
HpHTwinshark Motor noise registered by ENL sensor at t=['195552', '195732'] and [1578, 2201]AGL"
08/22/2024,4536-9241100481.igc,EB29RGBD, 5:49:27,182044,001011,HOME,938,12408[10856],286,265,-21,"EB29RGBD's ENL monitor reports Engine Run 4 minutes, starts at T=182044 and: 931 msl [0 agl]; Height gain/loss is: 2215
EB29RGBD Motor noise registered by ENL sensor at t=['182045', '182531', '220556', '220558', '231940', '231943', '001003', '001004'] and [-2, 2271, 6765, 6673, 7162, 7084, 68, 68]AGL"
08/23/2024,4536-9241100501.igc,EB29R, 6:06:30,180646,001316,HOME,948,9973[8071],289,238,-51,"EB29R's ENL monitor reports Engine Run 6 minutes, starts at T=180646 and: 954 msl [29 agl]; Height gain/loss is: 1677
EB29R Motor noise registered by ENL sensor at t=['180647', '181341', '001256', '001258'] and [26, 1746, 89, 92]AGL"
08/18/2024,4536-9240051824.igc,ArcusM,5:00:12,185124,235136,HOME,931,7755[6581],284,237,-47,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=185124 and: 928 msl [-19 agl]; Height gain/loss is: 2021
ArcusM Motor noise registered by ENL sensor at t=['185125', '185644'] and [-22, 2077]AGL"
08/23/2024,4536-9240051899.igc,HpHTwinshark, 6:37:53,175841,003634,HOME,938,9445[7802],286,245,-41,"HpHTwinshark's ENL monitor reports Engine Run 8 minutes, starts at T=175901 and: 1033 msl [102 agl]; Height gain/loss is: 2077
HpHTwinshark Motor noise registered by ENL sensor at t=['175901', '180707'] and [102, 2205]AGL"
08/20/2024,4536-9240051844.igc,ArcusM, 5:07:58,194106,004904,HOME,931,9596[7336],284,248,-36,"ArcusM's ENL monitor reports Engine Run 3 minutes, starts at T=4042 and: 1502 msl [630 agl]; Height gain/loss is: 568
ArcusM Motor noise registered by ENL sensor at t=['194126', '194134', '205249', '205250', '004042', '004425', '004831', '004833'] and [9, 56, 4734, 4734, 630, 1175, 39, 46]AGL"
08/14/2024,4536-9239003255.igc,AS33Es18m,4:37:47,173834,221621,HOME,944,7522[6900],288,249,-39,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=173834 and: 984 msl [72 agl]; Height gain/loss is: 1719
AS33Es18m Motor noise registered by ENL sensor at t=['173835', '174210'] and [72, 1778]AGL"
08/19/2024,4536-9239003396.igc,JS-3-18m,5:38:17,174620,232437,HOME,931,7660[7264],284,237,-47,"JS-3-18m's MOP monitor reports Engine Run 7 minutes, starts at T=174620 and: 931 msl [23 agl]; Height gain/loss is: 1759
JS-3-18m Motor noise registered by ENL sensor at t=['174621', '174637', '175233', '175304'] and [23, 49, 1384, 1650]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['174621', '175330'] and [23, 1808]AGL"
08/26/2024,4536-9240051936.igc,ArcusM,4:58:26,164237,214103,HOME,938,8136[7001],286,200,-86,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=164237 and: 931 msl [0 agl]; Height gain/loss is: 1903
ArcusM Motor noise registered by ENL sensor at t=['164238', '164748', '214038', '214044', '214100', '214101'] and [-2, 1972, 102, 105, 105, 105]AGL"
08/19/2024,4536-9241100440.igc,EB29R,5:07:18,181233,231951,HOME,931,9543[7658],284,254,-30,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=181233 and: 938 msl [-9 agl]; Height gain/loss is: 2041
EB29R Motor noise registered by ENL sensor at t=['181234', '181642'] and [-9, 2107]AGL"
08/20/2024,4536-9240051853.igc,ArcusM, 4:57:56,195512,005308,HOME,925,10059[7815],282,259,-23,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=4043 and: 1440 msl [706 agl]; Height gain/loss is: 2073
ArcusM Motor noise registered by ENL sensor at t=['205903', '205904', '213713', '213714', '214432', '214433', '215313', '215314', '220123', '220124', '222854', '222855', '223521', '223522', '224735', '224736', '225050', '225051', '231524', '231525', '231947', '231948', '233753', '233754', '004043', '004610'] and [4984, 4971, 5246, 5230, 5043, 5029, 4469, 4469, 5961, 5938, 6063, 6050, 4534, 4524, 4606, 4596, 4360, 4354, 4268, 4255, 4012, 4006, 6007, 5988, 706, 2716]AGL"
08/28/2024,4536-9239003647.igc,JS-3-18m,3:30:16,173157,210213,LOUT,944,6414[5817],288,243,-45,"JS-3-18m's RPM monitor reports Engine Run 6 minutes, starts at T=202935 and: 3287 msl [2818 agl]; Height gain/loss is: 1906
JS-3-18m Motor noise registered by MOP sensor at t=['202942', '203558'] and [2815, 4803]AGL"
08/23/2024,4536-9240051896.igc,ArcusM, 6:36:53,175033,002726,HOME,925,9229[7441],282,240,-42,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=175033 and: 921 msl [-9 agl]; Height gain/loss is: 2120
ArcusM Motor noise registered by ENL sensor at t=['175034', '175719'] and [-12, 2162]AGL"
08/26/2024,4536-9240051935.igc,ArcusM,4:51:56,164012,213208,HOME,938,8572[7345],286,197,-89,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=164012 and: 944 msl [13 agl]; Height gain/loss is: 1949
ArcusM Motor noise registered by ENL sensor at t=['164013', '164434'] and [10, 2018]AGL"
08/28/2024,4536-9241100577.igc,JS-5,3:33:40,175446,212826,HOME,948,6358[5929],289,253,-36,"JS-5's MOP monitor reports Engine Run 22 minutes, starts at T=203828 and: 1486 msl [873 agl]; Height gain/loss is: 1909
JS-5's MOP monitor reports Engine Run 8 minutes, starts at T=210247 and: 3822 msl [3239 agl]; Height gain/loss is: 1000
JS-5 Motor noise registered by ENL sensor at t=['212758', '212759'] and [82, 85]AGL
JS-5 Motor noise registered by MOP sensor at t=['203828', '210056', '210151', '210159', '210247', '211124'] and [873, 2818, 3153, 3169, 3239, 4153]AGL"
08/18/2024,4536-9239003364.igc,JS-3-18m,5:32:34,181449,234723,HOME,944,8415[7353],288,248,-40,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=181449 and: 944 msl [36 agl]; Height gain/loss is: 1910
JS-3-18m Motor noise registered by ENL sensor at t=['181450', '181507', '181900', '181905'] and [33, 69, 1621, 1611]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['181450', '181935'] and [33, 1939]AGL"
08/15/2024,4536-9239003293.igc,JS-3-18m,5:35:04,174238,231742,HOME,944,8408[6568],288,257,-31,"JS-3-18m's MOP monitor reports Engine Run 8 minutes, starts at T=174238 and: 961 msl [53 agl]; Height gain/loss is: 1765
JS-3-18m Motor noise registered by ENL sensor at t=['174239', '174246', '174315', '174615', '174618', '174633', '174645', '174650', '174710', '174720', '174814', '174825', '174835', '174915'] and [53, 49, 226, 788, 790, 830, 833, 856, 955, 998, 971, 978, 939, 1168]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['174239', '175107'] and [53, 1851]AGL"
08/13/2024,4536-9239003232.igc,JS-3-18m,4:09:49,185531,230520,HOME,931,8336[7792],284,253,-31,"JS-3-18m's MOP monitor reports Engine Run 3 minutes, starts at T=185531 and: 935 msl [-2 agl]; Height gain/loss is: 1240
JS-3-18m Motor noise registered by ENL sensor at t=['185532', '185543'] and [-2, 13]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['185532', '185905'] and [-2, 1201]AGL"
08/16/2024,4536-9239003312.igc,Ventus3T,5:14:40,173156,224636,HOME,944,7145[6676],288,252,-36,"Ventus3T's ENL monitor reports Engine Run 1 minutes, starts at T=175215 and: 3645 msl [2707 agl]; Height gain/loss is: 603
Ventus3T Motor noise registered by ENL sensor at t=['173158', '173205', '173305', '173309', '174038', '174039', '174303', '174311', '175215', '175336', '180855', '180856', '180857', '180859', '180910', '180913', '181004', '181010', '224629', '224635'] and [43, 46, 463, 450, 3708, 3773, 4176, 4144, 2707, 3290, 5026, 5026, 5032, 5101, 5013, 5053, 4938, 4951, 128, 131]AGL"
08/27/2024,4536-9240051951.igc,ArcusM,0:59:14,181853,191807,HOME,948,5810[4817],289,215,-74,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=181853 and: 941 msl [3 agl]; Height gain/loss is: 1939
ArcusM Motor noise registered by ENL sensor at t=['181854', '182408'] and [13, 1998]AGL"
08/28/2024,4536-9241100572.igc,EB29R,4:11:17,181352,222509,HOME,931,6371[5820],284,253,-31,"EB29R's ENL monitor reports Engine Run 7 minutes, starts at T=220234 and: 1902 msl [794 agl]; Height gain/loss is: 3094
EB29R Motor noise registered by ENL sensor at t=['181356', '181357', '220234', '220945'] and [-29, -28, 794, 3979]AGL"
08/18/2024,4536-9241100421.igc,NixusAsh30polar,5:32:43,182637,235920,HOME,941,9504[7559],287,249,-38,"NixusAsh30polar's ENL monitor reports Engine Run 6 minutes, starts at T=182637 and: 941 msl [16 agl]; Height gain/loss is: 1913
NixusAsh30polar Motor noise registered by ENL sensor at t=['182638', '183332', '183342', '183410'] and [16, 1979, 1959, 2096]AGL"
08/29/2024,4536-9239003684.igc,JS-3-18m, 6:11:51,175148,000339,HOME,931,6440[5811],284,246,-38,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=175148 and: 931 msl [23 agl]; Height gain/loss is: 1723
JS-3-18m Motor noise registered by ENL sensor at t=['175149', '175205'] and [23, 42]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['175149', '175647'] and [23, 1733]AGL"
08/20/2024,4536-9239003428.igc,JS-3-18m,4:04:13,194756,235209,HOME,931,7093[6453],284,254,-30,"JS-3-18m's MOP monitor reports Engine Run 6 minutes, starts at T=194756 and: 931 msl [-12 agl]; Height gain/loss is: 1778
JS-3-18m Motor noise registered by ENL sensor at t=['195233', '195238', '195256', '195258', '195332', '195346', '195350', '195354', '195357', '195419'] and [1319, 1303, 1339, 1348, 1430, 1535, 1582, 1598, 1614, 1699]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['194757', '195431'] and [-12, 1840]AGL"
08/16/2024,4536-9239003310.igc,JS-3-18m,5:42:59,181134,235433,HOME,944,7975[7145],288,261,-27,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235101 and: 1801 msl [850 agl]; Height gain/loss is: 26
JS-3-18m Motor noise registered by MOP sensor at t=['182642', '182655', '182659', '182708', '182719', '182723', '204309', '204313', '204419', '204422', '204454', '204500', '204603', '204607', '204931', '204935', '205743', '205747', '211138', '211142', '211308', '211313', '211434', '211438', '211519', '211524', '212920', '212924', '212938', '212943', '214750', '214754', '215240', '215244', '221837', '221841', '222023', '222032', '222133', '222136', '235101', '235225', '235417', '235426'] and [4298, 4200, 4193, 4144, 4098, 4092, 6034, 6066, 5702, 5712, 5400, 5357, 5076, 5049, 4065, 4061, 2411, 2385, 3343, 3340, 3362, 3350, 2861, 2838, 2481, 2677, 4741, 4643, 4512, 4449, 4515, 4456, 4744, 4770, 5629, 5604, 4708, 4553, 4098, 4092, 850, 909, 108, 118]AGL"
08/11/2024,4536-9239003154.igc,JS-3-15m,3:16:25,191538,223203,HOME,938,5964[4994],286,253,-33,"JS-3-15m's MOP monitor reports Engine Run 3 minutes, starts at T=222327 and: 2214 msl [1289 agl]; Height gain/loss is: -243
JS-3-15m Motor noise registered by MOP sensor at t=['222324', '222653'] and [1299, 1030]AGL"
08/20/2024,4536-9241100454.igc,EB29R, 5:08:36,190833,001709,HOME,938,8579[7402],286,243,-43,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=190833 and: 938 msl [7 agl]; Height gain/loss is: 2073
EB29R Motor noise registered by ENL sensor at t=['190834', '191354'] and [7, 2132]AGL"
08/12/2024,4536-9240051738.igc,Twinshark,3:02:25,194337,224602,HOME,925,7480[7001],282,264,-18,"Twinshark's ENL monitor reports Engine Run 5 minutes, starts at T=194337 and: 931 msl [-16 agl]; Height gain/loss is: 1883
Twinshark Motor noise registered by ENL sensor at t=['194338', '194935'] and [-16, 1919]AGL"
08/23/2024,4536-9241100509.igc,JS-5, 7:09:46,182003,012949,HOME,931,9209[7861],284,258,-26,"JS-5's MOP monitor reports Engine Run 5 minutes, starts at T=12231 and: 1512 msl [551 agl]; Height gain/loss is: 59
JS-5 Motor noise registered by ENL sensor at t=['005133', '005134'] and [2546, 2542]AGL
JS-5 Motor noise registered by MOP sensor at t=['012231', '012808'] and [551, 643]AGL"
08/15/2024,4536-9240051784.igc,ArcusM,3:52:25,180257,215522,HOME,931,8156[6336],284,261,-23,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=180257 and: 925 msl [-12 agl]; Height gain/loss is: 2129
ArcusM Motor noise registered by ENL sensor at t=['180258', '180853'] and [-16, 2169]AGL"
08/18/2024,4536-9239003351.igc,AS33Es18m,5:23:57,180150,232547,HOME,944,9790[8258],288,248,-40,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=180150 and: 980 msl [68 agl]; Height gain/loss is: 1624
AS33Es18m Motor noise registered by ENL sensor at t=['180151', '180532'] and [68, 1643]AGL"
